interest,vacancy,cpi,price,value,adj_price,adj_value,next_quarter
5.68,10.1,212.174,190000.0,206885.85326583963,89549.14362740015,97507.63678199949,90610.01449760231
5.67,10.1,212.687,190000.0,206885.85326583963,89333.15153253371,97272.4488407094,90563.54782350098
5.72,10.1,212.687,193000.0,206885.85326583963,90743.67497778425,97272.4488407094,91014.73922902494
6.04,10.1,212.687,189900.0,206885.85326583963,89286.1340843587,97272.4488407094,90610.01449760231
6.24,10.1,212.687,194900.0,205459.5219516688,91637.00649310958,96601.82425426508,92933.34820266905
6.03,10.1,213.448,190000.0,205459.5219516688,89014.65462314006,96257.4125555961,89670.42669327656
6.13,10.1,213.448,195000.0,205459.5219516688,91357.14553427532,96257.4125555961,91969.66840336057
5.87,10.1,213.448,198500.0,205459.5219516688,92996.88917207,96257.4125555961,94234.42148779333
5.85,10.1,213.448,199000.0,205459.5219516688,93231.13826318354,96257.4125555961,94268.91011344458
5.88,10.0,213.942,195000.0,203970.06759150804,91146.19850239783,95338.95522688767,91317.52931292691
5.88,10.0,213.942,195000.0,203970.06759150804,91146.19850239783,95338.95522688767,91317.52931292691
5.88,10.0,213.942,196000.0,203970.06759150804,91613.61490497425,95338.95522688767,92915.58607590313
6.03,10.0,213.942,192500.0,203970.06759150804,89977.65749595685,95338.95522688767,91317.52931292691
6.06,10.0,215.208,195000.0,202618.806207394,90610.01449760231,94150.22034840433,91317.52931292691
6.05,10.0,215.208,194900.0,202618.806207394,90563.54782350098,94150.22034840433,89167.31446339568
6.01,10.0,215.208,195871.0,202618.806207394,91014.73922902494,94150.22034840433,91453.655859893
5.98,10.0,215.208,195000.0,202618.806207394,90610.01449760231,94150.22034840433,90310.48516164433
6.08,10.0,215.208,200000.0,202618.806207394,92933.34820266905,94150.22034840433,91453.655859893
6.09,10.0,217.463,195000.0,201057.2997280722,89670.42669327656,92455.86593032938,85892.99012687491
6.32,10.0,217.463,200000.0,201057.2997280722,91969.66840336057,92455.86593032938,88634.25576922197
6.42,10.0,217.463,204925.0,201057.2997280722,94234.42148779333,92455.86593032938,87217.93518734266
6.45,10.0,217.463,205000.0,201057.2997280722,94268.91011344458,92455.86593032938,86704.8616346167
6.35,9.9,219.016,200000.0,199228.5903880199,91317.52931292691,90965.31321365558,86637.9409663817
6.37,9.9,219.016,200000.0,199228.5903880199,91317.52931292691,90965.31321365558,86637.9409663817
6.26,9.9,219.016,203500.0,199228.5903880199,92915.58607590313,90965.31321365558,87559.62118942832
6.63,9.9,219.016,200000.0,199228.5903880199,91317.52931292691,90965.31321365558,86637.9409663817
6.52,9.9,219.016,200000.0,197018.52530125904,91317.52931292691,89956.22479693677,88020.46130095163
6.52,9.9,218.69,195000.0,197018.52530125904,89167.31446339568,90090.32205462483,85853.82331001676
6.52,9.9,218.69,200000.0,197018.52530125904,91453.655859893,90090.32205462483,87730.40961187505
6.47,9.9,218.69,197500.0,197018.52530125904,90310.48516164433,90090.32205462483,86792.1164609459
6.4,9.9,218.69,200000.0,197018.52530125904,91453.655859893,90090.32205462483,85147.44699571424
6.35,9.9,218.877,188000.0,195342.1776584972,85892.99012687491,89247.4666860827,87512.65385670631
5.93,9.9,218.877,194000.0,195342.1776584972,88634.25576922197,89247.4666860827,87512.65385670631
5.78,9.9,218.877,190900.0,195342.1776584972,87217.93518734266,89247.4666860827,86206.48978686662
6.09,9.9,218.877,189777.0,195342.1776584972,86704.8616346167,89247.4666860827,83184.30824836151
6.1,10.1,216.995,188000.0,193446.59888237424,86637.9409663817,89147.95220275778,82573.26607937415
5.94,10.1,216.995,188000.0,193446.59888237424,86637.9409663817,89147.95220275778,82573.26607937415
6.46,10.1,216.995,190000.0,193446.59888237424,87559.62118942832,89147.95220275778,83988.80778359198
6.04,10.1,216.995,188000.0,193446.59888237424,86637.9409663817,89147.95220275778,79922.89791025128
